expression	pos	subcat	subcat2	subcat3	attitude	transitivity	gender	animate	classifier	number	tran_verb	verb	adjective	refl	aspect	prep	nchar
张三	NR	person					neutral	1		singular							2
李四	NR	person					neutral	1		singular							2
王五	NR	person					neutral	1		singular							2
小明	NR	person					neutral	1		singular							2
小王	NR	person					neutral	1		singular							2
赵大爷	NR	person					male	1		singular							3
胡大爷	NR	person					male	1		singular							3
冯大哥	NR	person					male	1		singular							3
杨大哥	NR	person					male	1		singular							3
李先生	NR	person					male	1		singular							3
王先生	NR	person					male	1		singular							3
刘先生	NR	person					male	1		singular							3
张先生	NR	person					male	1		singular							3
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
王小姐	NR	person					female	1		singular							3
徐小姐	NR	person					female	1		singular							3
宋女士	NR	person					female	1		singular							3
张夫人	NR	person					female	1		singular							3
吴太太	NR	person					female	1		singular							3
何太太	NR	person					female	1		singular							3
周大妈	NR	person					female	1		singular							3
郑大妈	NR	person					female	1		singular							3
陈大姐	NR	person					female	1		singular							3
王姨	NR	person					female	1		singular							
张婶	NR	person					female	1		singular							
李太太	NR	person					female	1		singular							
王大娘	NR	person					female	1		singular							
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
外人	NR	anyone															2
他人	NR	anyone															2
别人	NR	anyone															2
其他人	NR	anyone															
外国人	NR	anyone															
																	
																	
联合国	NR	organization								singular							3
红十字	NR	organization								singular							3
国际足联	NR	organization								singular							4
欧盟	NR	organization								singular							2
议会	NR	organization								singular							2
奥委会	NR	organization								singular							3
世界银行	NR	organization								singular							4
非洲联盟	NR	organization								singular							4
北约	NR	organization								singular							2
亚投行	NR	organization								singular							3
																	
长江	NR	location		immovable				0			跨越/去						2
黄河	NR	location		immovable				0			跨越/去						2
																	
北京	NR	city									回到/去						2
上海	NR	city									回到/去						2
广州	NR	city									回到/去						2
纽约	NR	city									回到/去						2
伦敦	NR	city									回到/去						2
四川	NR	province									回到/去						2
江西	NR	province									回到/去						2
浙江	NR	province									回到/去						2
安徽	NR	province									回到/去						2
湖北	NR	province									回到/去						2
河南	NR	province															
河北	NR	province															
江苏	NR	province															
福建	NR	province															
																	
他	PN	person	person3				male	1		singular							1
她	PN	person	person3				female	1		singular							1
你	PN	person	person2					1		singular							1
我	PN	person	person1					1		singular							1
它	PN	animal	person3					0		singular							1
他们	PN	person	person3				male	1		plural							2
她们	PN	person	person3				female	1		plural							2
你们	PN	person	person2					1		plural							2
我们	PN	person	person1					1		plural							2
过	AS																1
了	AS																1
着	AS																1
辆	M								辆								1
只	M	animal							只								1
个	M	person							个								1
把	M	obj							把								1
张	M	obj							张								1
条	M	animal							条								1
位	M	person							位								1
所	M								所								1
家	M								家								1
头	M	animal							头								1
瓶	M	beverage							瓶								1
桶	M	beverage							桶								1
杯	M	beverage							杯								1
块	M	food							块								1
串	M	food							串								1
片	M								片								1
部	M	video/book							部								1
本	M	book							本								1
这	DT	wCD/woCD	singular														1
那	DT	wCD/woCD	singular														1
另外	DT	wCD															2
这些	DT	article	plural														
那些	DT	article	plural														
这个	DT	article	singular														
那个	DT	article	singular														
																	
一	CD	num								singular							1
两	CD	num								plural							1
三	CD	num								plural							1
四	CD	num								plural							1
五	CD	num								plural							1
六	CD	num								plural							1
七	CD	num								plural							1
八	CD	num								plural							1
九	CD	num								plural							1
十	CD	num								plural							1
几	CD	many								plural							1
好几	CD	many								plural							2
十几	CD	many								plural							2
好几十	CD	many								plural							3
好几百	CD	many								plural							3
非常多	CD	many								plural							3
许多	CD	many								plural							2
非常	AD	degree	no_compare														2
很	AD	degree	no_compare														1
比较	AD	degree	no_compare														2
也	AD																1
